arm,rep,utc_start,wall_s,build_label,build_sha,build_dir,model,models_path,device,path,echo,exit_code,outcome,crash_kind,last_step,result_text_sha256,result_line,ov_version,gpu_driver,tokenizers_submodule,log
base_qwen2vl_CPU_chat_history_echofalse,3,20260907T173103Z,0.53,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,chat_history,false,0,COMPLETED,none,STEP generate(list[ChatHistory]),4d0ca4dbf0676fc05643309718a8d7082708f6fb98e586a7bd07b8c937227265,RESULT text='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_chat_history_echofalse_rep3_20260907T173103Z.txt
base_qwen2vl_CPU_add_request_echofalse,1,20260907T173104Z,0.48,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,add_request,false,0,COMPLETED,none,STEP finished after 1 step(s),eef97e6d0048c4640394ff21406702308a58c5c93a60a801ccf650eeedd44621,RESULT decoded='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_add_request_echofalse_rep1_20260907T173104Z.txt
base_qwen2vl_CPU_add_request_echofalse,2,20260907T173104Z,0.48,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,add_request,false,0,COMPLETED,none,STEP finished after 1 step(s),eef97e6d0048c4640394ff21406702308a58c5c93a60a801ccf650eeedd44621,RESULT decoded='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_add_request_echofalse_rep2_20260907T173104Z.txt
base_qwen2vl_CPU_add_request_echofalse,3,20260907T173105Z,0.49,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,add_request,false,0,COMPLETED,none,STEP finished after 1 step(s),eef97e6d0048c4640394ff21406702308a58c5c93a60a801ccf650eeedd44621,RESULT decoded='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_add_request_echofalse_rep3_20260907T173105Z.txt
prhead_gemma3_CPU_string_echotrue,1,20260907T173105Z,0.55,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/prhead_gemma3_CPU_string_echotrue_rep1_20260907T173105Z.txt
prhead_gemma3_CPU_string_echotrue,2,20260907T173106Z,0.53,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/prhead_gemma3_CPU_string_echotrue_rep2_20260907T173106Z.txt
prhead_gemma3_CPU_string_echotrue,3,20260907T173106Z,0.55,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/prhead_gemma3_CPU_string_echotrue_rep3_20260907T173106Z.txt
prhead_gemma3_CPU_chat_history_echotrue,1,20260907T173107Z,0.53,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,true,0,COMPLETED,none,STEP generate(list[ChatHistory]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/prhead_gemma3_CPU_chat_history_echotrue_rep1_20260907T173107Z.txt
prhead_gemma3_CPU_chat_history_echotrue,2,20260907T173107Z,0.55,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,true,0,COMPLETED,none,STEP generate(list[ChatHistory]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/prhead_gemma3_CPU_chat_history_echotrue_rep2_20260907T173107Z.txt
prhead_gemma3_CPU_chat_history_echotrue,3,20260907T173108Z,0.53,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,true,0,COMPLETED,none,STEP generate(list[ChatHistory]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/prhead_gemma3_CPU_chat_history_echotrue_rep3_20260907T173108Z.txt
